id,codigo orgao,descricao orgao,codigo unidade,descricao unidade,codigo programa,descricao programa,codigo acao,descricao acao,codigo da,descricao da,codigo meta,descricao meta,codigo regiao,descricao regiao,codigo prefeitura regional,descricao prefeitura regional,codigo distrito,descricao distrito,codigo sequencial da,codigo produto,descricao produto,descricao unidade medida,quantidade 2022,valor 2022,quantidade 2023,valor 2023,quantidade 2024,valor 2024,quantidade 2025,valor 2025
2_10_3011_1220,2,Hospital do Servidor Público Municipal,10,Hospital do Servidor Público Municipal,3011,"Modernização Tecnológica, Desburocratização e Inovação do Serviço Público",1220,Desenvolvimento de Sistemas de Informação e Comunicação,777.05.09.00.001,Subprefeitura Sé,777,Despesa Regionalizável,5,Centro,9,SE,0,Supra-Distrital,1,2978,Projeto concluído,unida,"1,00",1000.0,"0,00",0.0,0,0.0,0,0.0
2_10_3024_2100,2,Hospital do Servidor Público Municipal,10,Hospital do Servidor Público Municipal,3024,Suporte Administrativo,2100,Administração da Unidade,777.05.09.00.001,Subprefeitura Sé,777,Despesa Regionalizável,5,Centro,9,SE,0,Supra-Distrital,1,2977,Operação/Serviço mantido,unida,"0,00",237584938.0,"0,00",272179517.0,0,274852853.0,0,277723036.0
2_10_3026_1536,2,Hospital do Servidor Público Municipal,10,Hospital do Servidor Público Municipal,3026,Ações e Serviços da Saúde em Atenção Hospitalar e de Urgência e Emergência,1536,"Ampliação, Reforma e Requalificação de Equipamentos em Atenção Hospitalar e de Urgência e Emergência",777.05.09.00.001,Subprefeitura Sé,777,Despesa Regionalizável,5,Centro,9,SE,0,Supra-Distrital,1,2978,Projeto concluído,unida,"1,00",1000.0,"0,00",0.0,0,0.0,0,0.0
2_10_3026_2044,2,Hospital do Servidor Público Municipal,10,Hospital do Servidor Público Municipal,3026,Ações e Serviços da Saúde em Atenção Hospitalar e de Urgência e Emergência,2044,Execução de Serviços Médicos de Tratamento de Radioterapia,777.05.09.00.001,Subprefeitura Sé,777,Despesa Regionalizável,5,Centro,9,SE,0,Supra-Distrital,1,2977,Operação/Serviço mantido,unida,"0,00",1800000.0,"0,00",2073569.0,0,2094305.0,0,2116567.0
2_10_3026_2507,2,Hospital do Servidor Público Municipal,10,Hospital do Servidor Público Municipal,3026,Ações e Serviços da Saúde em Atenção Hospitalar e de Urgência e Emergência,2507,Manutenção e Operação em Atenção Hospitalar e de Urgência e Emergência,777.05.09.00.001,Subprefeitura Sé,777,Despesa Regionalizável,5,Centro,9,SE,0,Supra-Distrital,1,2977,Operação/Serviço mantido,unida,"1,00",138903857.0,"1,00",107031063.0,1,108010695.0,1,109062435.0
3_10_3024_2100,3,Instituto de Previdência Municipal de São Paulo,10,Instituto de Previdência Municipal de São Paulo,3024,Suporte Administrativo,2100,Administração da Unidade,777.05.09.00.001,Subprefeitura Sé,777,Despesa Regionalizável,5,Centro,9,SE,0,Supra-Distrital,1,2977,Operação/Serviço mantido,unida,"0,00",76187302.0,"0,00",77950000.0,0,78720000.0,0,79642000.0
2_10_3026_1535,2,Hospital do Servidor Público Municipal,10,Hospital do Servidor Público Municipal,3026,Ações e Serviços da Saúde em Atenção Hospitalar e de Urgência e Emergência,1535,Construção e Implantação de Equipamentos em Atenção Hospitalar e de Urgência e Emergência,777.05.09.00.001,Subprefeitura Sé,777,Despesa Regionalizável,5,Centro,9,SE,0,Supra-Distrital,1,2978,Projeto concluído,unida,"1,00",1000.0,"0,00",0.0,0,0.0,0,0.0
5_10_3024_2611,5,São Paulo Urbanismo,10,São Paulo Urbanismo,3024,Suporte Administrativo,2611,Administração da Carteira Imobiliária,777.03.08.00.001,Subprefeitura Lapa,777,Despesa Regionalizável,3,Oeste,8,LAPA,0,Supra-Distrital,1,2977,Operação/Serviço mantido,unida,"0,00",30000.0,"1,00",33000.0,1,36300.0,1,39930.0
6_10_3024_2100,6,São Paulo Turismo,10,São Paulo Turismo,3024,Suporte Administrativo,2100,Administração da Unidade,777.01.05.00.001,Subprefeitura Santana/Tucuruvi,777,Despesa Regionalizável,1,Norte,5,SANTANA-TUCURUVI,0,Supra-Distrital,1,2977,Operação/Serviço mantido,unida,"0,00",74622112.0,"0,00",44831417.0,0,53537413.0,0,55829546.0
9_10_3014_1000,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,3014,Processo Legislativo e Controle Externo,1000,Construção de Edificações da Câmara Municipal de São Paulo,777.05.09.00.001,Subprefeitura Sé,777,Despesa Regionalizável,5,Centro,9,SE,0,Supra-Distrital,1,2895,Edificações construídas,unida,"0,00",29322123.0,"1,00",8644247.0,0,0.0,0,0.0
